Emails,Labels
"

Dear ALL,

I HAVE ALREADY SEND THE LINK ON NALANDA .PLEASE CHECK IT. NOW ALL THE STUDY MATERIALS WOULD BE SEND TO NALANDA ONLY.
WITH BEST WISHES




    Dear All,

    Please find the problem sheet attached for tomm tut class. please try to do it before joining the class. we will discuss the problems and you doubts in the class tomm
    with best wishes


    -- 


    Sharad Shrivastava
    Assistant Professor
    Mechanical Engineering Department
    Nucleus Member, AGSRD,
    Doctoral Research committee convenor
    Birla Institute of Technology and Science (BITS), Pilani
    Pilani, Rajasthan
    India 333031

     



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

Dear All ,

Please find the link
with best wishes


    Dear ALL,

    I HAVE ALREADY SEND THE LINK ON NALANDA .PLEASE CHECK IT. NOW ALL THE STUDY MATERIALS WOULD BE SEND TO NALANDA ONLY.
    WITH BEST WISHES




        Dear All,

        Please find the problem sheet attached for tomm tut class. please try to do it before joining the class. we will discuss the problems and you doubts in the class tomm
        with best wishes


        -- 


        Sharad Shrivastava
        Assistant Professor
        Mechanical Engineering Department
        Nucleus Member, AGSRD,
        Doctoral Research committee convenor
        Birla Institute of Technology and Science (BITS), Pilani
        Pilani, Rajasthan
        India 333031

         



    -- 


    Sharad Shrivastava
    Assistant Professor
    Mechanical Engineering Department
    Nucleus Member, AGSRD,
    Doctoral Research committee convenor
    Birla Institute of Technology and Science (BITS), Pilani
    Pilani, Rajasthan
    India 333031

     



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

Guys

Some of you are asking whether we will have a class tomorrow.


See you tomorrow....

-- 
Dr. Shyam Sunder Yadav
Assistant Professor
Mechanical Engineering
BITS Pilani
09902346342


",Academics
"

Guys

Some of you are sending requests for skipping tomorrow's class. 

We are already lagging behind the schedule, please don't ask for that.

What we can do is to not start a new chapter. It will be just a revision, doubts clearing / discussion session.

 attend the tutorial no. 1.  Those among you all who are assigned tutorial section 5 should attend tutorial section 2.
 We will send the seperate online link for each section soon. 


    Guys

    Some of you are asking whether we will have a class tomorrow.


    See you tomorrow....

    -- 
    Dr. Shyam Sunder Yadav
    Assistant Professor
    Mechanical Engineering
    BITS Pilani
    09902346342



-- 
Dr. Shyam Sunder Yadav
Assistant Professor
Mechanical Engineering
BITS Pilani
09902346342


",Academics
"

Classroom
Hi ASWIN,
		
	
Jitender Kumar
JOIN
If you accept, your contact information will be shared with the class members and applications they authorize to use Classroom. Learn more
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Dear All,


meet.google.com/dpf-tfwn-chr

Regards,
Jitender



",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	
Class Lecture Slides. Also, please read "" A Star Filled Spoon"" before coming to the class on Wednesday.
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Dear all,

The study materials with the manual for the first experiment is shared through google drive. Sample dataset is given so that you may complete your report and upload the same. The platform for uploading will be most probably either in Canvas or Google classroom. The platform details will be shared to you soon. In the meantime you can work on the lab records and keep it ready for submission. 
Since, we are running on online mode with the help of various platforms, the things will be settled by this week and can run smoothly thereafter.
The deadline for submission of lab records for the first experiments is extended till the upcoming sunday(i.e. 06/9/2020) so that you will get enough time for doing the calculations and submission of lab records. But from the next experiments on wards, the understanding is that, you have to submit the lab records before the next upcoming lab class.


We are thinking of conducting a demo quiz tomorrow before we have the real one(for the 1st lab experiment). The details will be mailed to you soon.




With best regards,
Harikrishnan



-- 
Dr. A R Harikrishnan
Assistant Professor
6020K, NAB
Department of Mechanical Engineering

Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar
Pilani 333031, Rajasthan, India




",Academics
"

Dear All,

Tomm there will be no class. The next class will be on Monday. I will take the extra class to compensate for tomm class after discussing you all (regarding date and time of extra class).
with best wishes

-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

11481001170_GS F232 » Forums » Announcements » Class Recordings
Picture of Tanu Shukla . 	
Class Recordings
  	

See this post in context
Change your forum digest preferences


",Academics
"

11481001170_GS F232 » Forums » Announcements » PPT
Picture of Tanu Shukla . 	
PPT
  	
Powerpoint 2007 presentation RES IP.pptx

Dear Students,



- Tanu
See this post in context
Change your forum digest preferences


",Academics
"

11481001170_GS F232 » Forums » Announcements » IP
Picture of Tanu Shukla . 	
IP
  	

Evaluative will be based on research methods only. Please search the topic of research as per your interest in Psychology related areas. For example, media, social issues, education, behavioural concerns etc, but it should be connected with psychology as behaviour, attitude, perception, etc. The areas are not limited to these areas only ( these are just examples).
Narrow the area and then start searching for one which attracts your attention. You are advised to explore on your own. 

You have to read on the methodology aspect connected to the topic (problem statement) as mentioned. The questions will be related to the design of the study and the portion covered in class.

- Tanu
See this post in context
Change your forum digest preferences


",Academics
"

11481001170_GS F232 » Forums » Announcements » Class Google meet link
Picture of Tanu Shukla . 	
Class Google meet link
  	GSF 232 Introductory Psychology



- Tanu
See this post in context
Change your forum digest preferences


",Academics
"

11481002396_ME F217 » Forums » Announcements » Google Meet Link (from 9-Sep onward)
Picture of Aakash Chand Rai . 	
Google Meet Link (from 9-Sep onward)
  	

Dear students,



Regards,

Aakash

See this post in context
Change your forum digest preferences


",Academics
"

11481002396_ME F217 » Forums » Announcements » Thermal Power Plant (Video)
Picture of Aakash Chand Rai . 	
Thermal Power Plant (Video)
  	

Dear students,

Please go through this short video before attending tomorrow's class. It should help you visualize the system that we are trying to analyze.


Kind regards,

Aakash
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Krishnendra Shekhawat (krishnendra.shekhawat@pilani.bits-pilani.ac.in) invited you to the class Test-IClass2.
		
	
Krishnendra Shekhawat
Test-IClass2
JOIN
If you accept, your contact information will be shared with the class members and applications they authorize to use Classroom. Learn more
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Classroom
Hi ASWIN,
Devendra Kumar (dkumar@pilani.bits-pilani.ac.in) invited you to the class Test-IClass2.
		
	
Devendra Kumar
Test-IClass2
JOIN
If you accept, your contact information will be shared with the class members and applications they authorize to use Classroom. Learn more
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

11481001022_MATH F211 » Forums » Announcements » Instructions for Test-1
Picture of Krishnendra Shekhawat . 	
Instructions for Test-1
  	

 

Instructions for Test-1

Test-1 for MATH F211 is scheduled on 14.09.20. It will be conducted through Google classroom. You must have received an Invitation for Test-1 on your registered BITS e-mail i.d.. Accept it as soon as possible. If not, then please contact IC.

 

The Question paper for the Test-I can be downloaded by Clicking on the Tab Stream. The same would be visible under the Tab Classwork.

 

Test-1 will be subjective and you need to solve it on white sheets. Once you are ready with your solutions, first upload them as one file on the Tab Classwork on your registered Classroom by clicking on + Add or create button and then click on Turn in. The file to be uploaded should be of pdf format and name it by BITS i.d.

 

Test-1 is of 45 marks and 30 minutes.  Five extra minutes will be given for uploading the answer sheet. It means, within 35 minutes you need to upload your answer sheet. It will start at 1.10 p.m. and will end at 1.45 p.m.

 

The syllabus for Test-1 is till section 17 (refer to handout).

 

The attendance for Test-1 will be taken through Google meet. On 14.09.20, you need to attend your class in your registered section only. It is mandatory to keep your camera on and mike off. In the chat box of Google meet, you must write your name and I.D. Do not write anything else in the chat box of Google meet and Google Classroom. At any point of time, Instructor may ask you to switch on your mike or to change the angle of the camera.

 

Late submission is not allowed. If for genuine reasons, you won’t be able to upload your answer sheet, then within the time limit, it needs to be sent to IC (9468839182) through WhatsApp. Under unavoidable circumstances, late submission will be considered for the next 5 minutes but with a penalty of 5 marks. Further late submissions won’t be considered for Make-up.

 

At the top of all pages of answer sheets, it is mandatory to mention your name and I.D. Try to use as few sheets as possible for writing the final answers. Answers should be neatly written and should be readable otherwise it may have an impact on your marks.

Mobile Phones can only be used for scanning and uploading purposes. Don’t use it for messages and phone calls.


Any Query regarding Test-I need to be sent through a google sheet only, which will be shared soon.

 

 

See this post in context
Change your forum digest preferences


",Academics
"

Dear All,




    -- 



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

Picture of Gaurav Dwivedi 	
  	

Dear Students,

The lecture classes(for L-11) scheduled on 16-09-2020, 18-09-2020 and the common hour class scheduled on 17-09-2020 are canceled. Compensatory classes will be announced later.

Gaurav
See this post in context
Change your forum digest preferences


",Academics
"

    Dear All,




    Thanks
    Dr. Sharad



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

11481001022_MATH F211 » Forums » Announcements » Clarification regarding Test-I
Picture of Krishnendra Shekhawat . 	
Clarification regarding Test-I
  	

Dear Student



Any submission on 14.09.2020 till 1.55 p.m. will be considered as a regular submission with no penalty (here submission can be through classroom or through email and whatsapp to IC). 

Submission from 1.56-2.00 p.m. will have a penalty of 5 marks. Submission after 2 p.m. will not be considered for evaluation and no make-up will be given in this case.

The time to be considered is according to the time displayed on classroom or gmail or whatsapp (whichever is earlier). 


If you have any query, kindly ask to your respective instructor after the regular class. Please do not drop multiple e-mails.





See this post in context
Change your forum digest preferences


",Academics
"

11481002396_ME F217 » Forums » Announcements » General Announcements
Picture of Aakash Chand Rai . 	
General Announcements
  	

Dear students,

1. All the video lectures and ppts are now available on Nalanda, and henceforth I will be using Nalanda for sharing purposes.

2. I have also uploaded a small practice problem set for the portion covered by me, and would encourage you to go over those problems. We can solve a few of those problems in Friday's class.

Regards,

Aakash



See this post in context
Change your forum digest preferences


",Academics
"

11481001082_ME F212 » Forums » Announcements » Tutorial questions for tomorrow - 16/09/2020
Picture of Saket Verma 	
Tutorial questions for tomorrow - 16/09/2020
  	
PDF document Tut_Hydrostatics, Buoy flotation.pdf

Dear Students,

Please find the attached sheet to find out tutorial questions for tomorrow's class - 16/09/2020.

Best wishes
See this post in context
Change your forum digest preferences


",Academics
"

11481001022_MATH F211 » Forums » Announcements » L10-cancellation
Picture of Sangita Yadav . 	
L10-cancellation
  	
Dear Students,

The lecture classes(for L-10) and common hour class scheduled during 16-21 Sep. 2020 are canceled. Compensatory classes will be announced later.

Sangita
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	
This is the drama we will be doing in the class.
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Classroom
Hi ASWIN,
Sachin U Belgamwar (sachinbelgamwar@pilani.bits-pilani.ac.in) invited you to the class Second Year Mechanical Engineering All.
		
	
Sachin U Belgamwar
Second Year Mechanical Engineering All
JOIN
If you accept, your contact information will be shared with the class members and applications they authorize to use Classroom. Learn more
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

11481001082_ME F212 » Forums » Announcements » Tutorial recordings and notes_ 16/09/2020
Picture of Saket Verma 	
Tutorial recordings and notes_ 16/09/2020
  	
PDF document Sep 16_FM_Tut 5.pdf

Dear Students,

Please find herewith recording for today's tutorial class and class notes.

best wishes

See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Tanu Shukla (tanus@pilani.bits-pilani.ac.in) invited you to the class GSF 232 Introductory Psychology.
		
	
Tanu Shukla
GSF 232 Introductory Psychology
JOIN
If you accept, your contact information will be shared with the class members and applications they authorize to use Classroom. Learn more
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

11481001082_ME F212 » Forums » Announcements » Lecture notes_17/09/2020_Langrangian and Eulerian descriptions
Picture of Saket Verma 	
Lecture notes_17/09/2020_Langrangian and Eulerian descriptions
  	
PDF document Sep 17_FM_Fluid Kinematics.pdf

Dear Students,

Please find the lecture notes for today's class (17/09/2020) on Lagrangian and Eulerian descriptions.

I suggest you to go through following videos to improve your visualization and concepts related to the topic.

mdN8OOkx2ko

BLVY69SYVBQ

l4F2bZgwcpU

See this post in context
Change your forum digest preferences


",Academics
"

11481001170_GS F232 » Forums » Announcements » Google Classroom
Picture of Tanu Shukla . 	
Google Classroom
  	All the students have been invited to the GSF 232 introductory Psychology classroom. Kindly accept the invite. 


Consider this as a reminder notice to accept the invite. The test is scheduled in the class hour tomorrow. No Make-ups will be entertained. 


- Tanu
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Sachin U Belgamwar posted a new announcement in Second Year Mechanical Engineering All.
		
Announcement
	
Dear students,
Today's (18/09/2020) tutorial class is cancelled.
Thanking you
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"


Dear Students,

There will be no lecture class tomm 21st sep 2020. I will take the lecture class on tuesday 22nd sep 2020 at 8.00am. It means tuesday tut class will be replaced by lecture class. i will be sending u google meet link for tuesday class, please join through it.
All the make up students are requested to login to canvas at 4.55pm tomm (sep 21, 2020)

with best wishes
-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

11481002396_ME F217 » Forums » Announcements » Class Cancellation and Extra Class
Picture of Aakash Chand Rai . 	
Class Cancellation and Extra Class
  	

Dear Students,


Regards,

Aakash

See this post in context
Change your forum digest preferences


",Academics
"

11481001170_GS F232 » Forums » Announcements » Points to be noted
Picture of Tanu Shukla . 	
Points to be noted
  	


- Queries about the content of the course, the lecture will be resolved through email if the doubt still remains but a day or two prior to the test, the questions related to the content of the question paper (syllabus) will not be entertained to avoid exclusive information dissemination. 

- Queries related to only instructions or mode of conduction will be answered over email, but content-specific questions such as approval of research problem, methodology etc would not be before the test. To be fair and just with all the students and avoid any unjust behaviour by sharing exclusive information to a specific student. 

- In the light of the above points, discussion in class is encouraged to facilitate mutual learning. 

 
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	
Theories done in the class.
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

11481001082_ME F212 » Forums » Announcements » Tutorial 6_questions and meeting link
Picture of Saket Verma 	
Tutorial 6_questions and meeting link
  	
PDF document Tut 6_Application of RTT.pdf

Dear students,



Best wishes
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	
Assignment 1
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

11481001022_MATH F211 » Forums » Announcements » Compensatory Class(L-11)
Picture of Gaurav Dwivedi 	
Compensatory Class(L-11)
  	

Dear Students,

A compensatory class is scheduled for 26-09-2020 at 2 PM for L-11 students. The class will be conducted at the usual google meet link. 
See this post in context
Change your forum digest preferences


",Academics
"

11481001082_ME F212 » Forums » Announcements » Reading material_conservation of energy using RTT
Picture of Saket Verma 	
Reading material_conservation of energy using RTT
  	
PDF document first_law_for_control_volume.pdf

Dear students,

In the next class that is tomorrow, we are going to discuss conservation of energy principle using RTT. Please find attached herewith some reading material on first law of thermodynamics using control volume approach. we will discuss this and solve some related conceptual questions in the next class.

best wishes
See this post in context
Change your forum digest preferences


",Academics
"

11481001022_MATH F211 » Forums » Announcements » Compensatory classes for Lecture section 10
Picture of Sangita Yadav . 	
Compensatory classes for Lecture section 10
  	

Dear Students,

Compensatory classes are scheduled on 26 & 27-09-2020 during 1-3 PM for L-10 students. The class will be conducted via  the regular google meet link. 

See you there

See this post in context
Change your forum digest preferences


",Academics
"

11481002396_ME F217 » Forums » Announcements » Class Cancellation and Extra Class
Picture of Aakash Chand Rai . 	
  	

Dear Students,

Tomorrow's (Sat, 26 Sep) extra class is cancelled.

Regards.

Aakash

Show parent
See this post in context
Change your forum digest preferences


",Academics
"

11481001082_ME F212 » Forums » Announcements » Recording and class notes_26/09/2020
Picture of Saket Verma 	
Recording and class notes_26/09/2020
  	
PDF document Sep 26_FM_Conservation of Energy_RTT.pdf

Dear students,

Please find the recording and class notes in this email for the lecture on conservation of mass in control volume conducted on 26/09/2020.




(a) Assuming turbulent flow, kinetic energy correction factor (α) < 1.06, estimate the power in MW extracted by the turbine.

(b) Now assume flow to be Laminar, α < 2.0, estimate the power in MW extracted by the turbine. Discuss your finding on effect of α on your answers.

Best wishes
See this post in context
Change your forum digest preferences


",Academics
"

Dear Students,
Due to some unavoidable reasons, I will not be able to conduct today's class. 

However, I received your feedback from the SFC. I am  sorry, as I am  engaged in admission activities which are still in process, there is a communication gap between us. 
Whatever may be the reason, I consider myself responsible for this.
 I'm really thankful for the feedback and I will try my best to rectify it in the coming lectures and tests.

Thanking you

-- 

Best Wishes

Sachin Ulhasrao Belgamwar Ph.D.

Assistant Professor,

Department of Mechanical Engineering,

Faculty In-charge, First Degree Admission Test

Birla Institute of Technology & Science, Pilani

Pilani Campus,

Vidya Vihar
Pilani 333031, Rajasthan, India
www.bits-pilani.ac.in
 

 


",Academics
"

11481001170_GS F232 » Forums » Announcements » Cognition
Picture of Tanu Shukla . 	
Cognition
  	

Dear students, 

Some of the students had difficulty in viewing the following videos in class today due to network issues. Kindly view the shared links to understand cognition and cognitive development. 

Cognition includes activities and processes concerned with the acquisition, storage, retrieval and processing of knowledge. These help us perceive, attend, remember, think, reason, decide, communicate and so on. 

 Scientists at the Primate Research Center tried to understand the cognitive development in humans and chimpanzees. Humans developed social and language capabilities. Recent cognition and behaviour studies have mentioned that chimpanzees are good at capturing images rapidly as a whole, while humans are better at understanding the meaning of what they see. Chimpanzees neglect social context whereas humans are collaborative, altruistic and using language for communication. The theory provides insights, how humans 'traded' some aspects of cognitive development by re-purposing areas of the brain that evolved in the context of other uses. 





- Tanu
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Dear students 

Tomm I.e I.e Wednesday 30th sep 2020, there will be no class, instead of that class will be on oct 2 I.e friday at the scheduled lecture time 10.00am. Sorry for inconvenience

With best wishes 


    Dear students in tomm tut there are 3 questions. In each questions I have asked the correct shear force and bending moment diagram.  In the options, links are given as the fig cannot be uploaded in the answer in canvas.  You have to select the link and right click it, it will ask to open in new tab. The figure will be displayed for that link. Similiarly open the fig for all the links and see which fig is correct. Whichever is correct mark the answer as that link .
    with best wishes

    -- 


    Sharad Shrivastava
    Assistant Professor
    Mechanical Engineering Department
    Nucleus Member, AGSRD,
    Doctoral Research committee convenor
    Birla Institute of Technology and Science (BITS), Pilani
    Pilani, Rajasthan
    India 333031

     



",Academics
"

11481001022_MATH F211 » Forums » Announcements » Instructions
Picture of Krishnendra Shekhawat . 	
Instructions
  	

Instructions for Test-1


 

Quiz-1 is of 30 marks and 20 minutes. The response for the Quiz needs to be submitted manually within 20 minutes only otherwise you would not be able to submit and in this case, no marks will be awarded. There is no option for auto-submit.

 

Quiz-1 has MCQ where multiple answers can be correct. There is no negative as well as partial marking. The marks for each question are mentioned in the Quiz.

 

The attendance for Quiz-1 will be taken through Google meet. On 30.09.20, you need to attend your class in your registered section only. If you are not attending Google meet and submitted the quiz, you will be considered as absent.

It is mandatory to keep your camera on and mike off. In the chat box of Google meet, you must write your name and I.D. Do not write anything else in the chat box of Google meet and Google Classroom.

 

Mobile Phones can only be used for submitting the Quiz. Don’t use it for messages and phone calls.

See this post in context
Change your forum digest preferences


",Academics
"

Dear all,


Please join using the link given below.

 meet.google.com/bra-ehcr-hfq 
 
The abstract of the talk is attached herewith.

Please try to attend the talk as it can give practical insights to various engineering problems. 

Please note that you are strictly advised to logout soon after the talk.

Best wishes,

-- 
Dr. A R Harikrishnan
Assistant Professor
6020K, NAB
Department of Mechanical Engineering

Birla Institute of Technology & Science, Pilani
Pilani Campus
Vidya Vihar
Pilani 333031, Rajasthan, India




",Academics
"

11481001022_MATH F211 » Forums » Announcements » Compensatory Class (L11)
Picture of Gaurav Dwivedi 	
Compensatory Class (L11)
  	

Dear Students,

A compensatory class is scheduled for 02-10-2020 at 1 PM for L-11 students. The class will be conducted at the usual google meet link. 



See this post in context
Change your forum digest preferences


",Academics
"

Please join today's class at 10.00am

with best wishes


    Dear students 

    Tomm I.e I.e Wednesday 30th sep 2020, there will be no class, instead of that class will be on oct 2 I.e friday at the scheduled lecture time 10.00am. Sorry for inconvenience

    With best wishes 


        Dear students in tomm tut there are 3 questions. In each questions I have asked the correct shear force and bending moment diagram.  In the options, links are given as the fig cannot be uploaded in the answer in canvas.  You have to select the link and right click it, it will ask to open in new tab. The figure will be displayed for that link. Similiarly open the fig for all the links and see which fig is correct. Whichever is correct mark the answer as that link .
        with best wishes

        -- 


        Sharad Shrivastava
        Assistant Professor
        Mechanical Engineering Department
        Nucleus Member, AGSRD,
        Doctoral Research committee convenor
        Birla Institute of Technology and Science (BITS), Pilani
        Pilani, Rajasthan
        India 333031

         



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

Dear All,

The syllabus for tuesday tutorial test will be the 3rd chapter shear force and bending moment diagram ( The portion  covered till monday class). The pattern will be the same like the other evaluatives through canvas. Some will be MCQ type and others in which you have to write a final answer only. Also remember there will be no make up for tut test as already mentioned in the course handout. Please give the test and don't ask for makeup. The test will be for 50 minutes.

for any queries please feel free to call or email me

with best wishes




-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

11481001170_GS F232 » Forums » Announcements » IP Class
Picture of Tanu Shukla . 	
IP Class
  	

You are suggested to attend tomorrow's class on tool construction. 
See this post in context
Change your forum digest preferences


",Academics
"

Classroom
Hi ASWIN,
Kumar Sankar Bhattacharya posted a new announcement in Critical Analysis of Literature and Cinema Lecture 1.
		
Announcement
	

OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Classroom
Hi ASWIN,
Sachin U Belgamwar posted a new announcement in Second Year Mechanical Engineering All.
		
Announcement
	
Dear students,
Due health issue, I AM CANCELLING TODAY'S CLASS. I will engage it on Friday 3pm to 4pm.
OPEN
If you don't want to receive emails from Classroom, you can unsubscribe.
Google logo
Google LLC
1600 Amphitheatre Pkwy
Mountain View, CA 94043 USA


",Academics
"

Dear All,

Please read the instructions carefully before attempting the test. Please login to your tut class link also, if any doubt is there u can discuss with your tut instructors

with best wishes


",Academics
"

Dear class

In one of the questions in this quiz, you have been asked to calculate bending moment at a distance of 3 m from the left support. In this question it has not been expressed what units you should report the bending moment in. PLEASE express your answer in kN-m (only for this problem).

 
View announcement  |  Update your notification settings


",Academics
"

Dear All,

This is to inform you that there is no make up for this tut test, which i habe already informed you in my previous email and its clearly written in course handout. Also i am observing some of students are logged in google meet but not giving test. this is not good


    Dear All,

    Please read the instructions carefully before attempting the test. Please login to your tut class link also, if any doubt is there u can discuss with your tut instructors

    with best wishes



-- 


Sharad Shrivastava
Assistant Professor
Mechanical Engineering Department
Nucleus Member, AGSRD,
Doctoral Research committee convenor
Birla Institute of Technology and Science (BITS), Pilani
Pilani, Rajasthan
India 333031

 


",Academics
"

Picture of Aakash Chand Rai . 	
  	

Dear students,


Regards,

Aakash


See this post in context
Change your forum digest preferences


",Academics
"

Dear all

Test2 syllabus

Castiglion,s theorem
Complete shear force bending moment  chapter

With best wishes


    Dear All,

    This is to inform you that there is no make up for this tut test, which i habe already informed you in my previous email and its clearly written in course handout. Also i am observing some of students are logged in google meet but not giving test. this is not good


        Dear All,

        Please read the instructions carefully before attempting the test. Please login to your tut class link also, if any doubt is there u can discuss with your tut instructors

        with best wishes



    -- 


    Sharad Shrivastava
    Assistant Professor
    Mechanical Engineering Department
    Nucleus Member, AGSRD,
    Doctoral Research committee convenor
    Birla Institute of Technology and Science (BITS), Pilani
    Pilani, Rajasthan
    India 333031

     



",Academics
"

Dear all,

As I told you about syllabus castigliano,s theorem, and complete shear force and bending moment chapter. The test duration I have kept for 40 minutes ,10 to10.40. Extra 10 minutes are given. I will be joining through lecture link you can also join through that for any doubt.

With best wishes and luck


",Academics
"

Dear All

Please find your marks till quiz 2 in the attached file.

As a reminder, we will be conducting test 2 tomorrow during class hours. 

-- 
Dr. Shyam Sunder Yadav
Assistant Professor
Mechanical Engineering
BITS Pilani
09902346342


",Academics
"

Dear All

Quiz 2 questions can be accessed on Canvas now. Please check.


    Dear All

    Please find your marks till quiz 2 in the attached file.

    As a reminder, we will be conducting test 2 tomorrow during class hours. 

    -- 
    Dr. Shyam Sunder Yadav
    Assistant Professor
    Mechanical Engineering
    BITS Pilani
    09902346342



-- 
Dr. Shyam Sunder Yadav
Assistant Professor
Mechanical Engineering
BITS Pilani
09902346342


",Academics
